Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-03-16,59.22,60.0,58.34,58.37,360644900,0.0,0
2009-03-17,58.54,60.3,58.06,60.16,356814300,0.0,0
2009-03-18,59.87,62.25,59.3,61.51,473273200,0.0,0
2009-03-19,62.28,62.33,60.55,60.74,428520400,0.0,0
2009-03-20,61.04,61.16,59.31,59.45,371078200,0.56,0
2009-03-23,61.02,63.77,60.69,63.72,419933300,0.0,0
2009-03-24,62.96,63.83,62.4,62.47,330271000,0.0,0
2009-03-25,62.95,64.09,61.27,63.12,441775100,0.0,0
2009-03-26,63.74,64.56,63.02,64.41,422025200,0.0,0
2009-03-27,63.59,63.96,63.02,63.25,322332300,0.0,0
2009-03-30,61.85,61.9,60.42,61.06,324108500,0.0,0
2009-03-31,61.66,62.84,61.26,61.63,364238300,0.0,0
2009-04-01,60.86,63.1,60.71,62.82,377018300,0.0,0
2009-04-02,64.39,65.57,62.88,64.66,476230700,0.0,0
2009-04-03,64.7,65.32,64.07,65.3,284646300,0.0,0
2009-04-06,64.59,65.32,63.77,64.79,264866600,0.0,0
2009-04-07,63.74,64.05,63.17,63.28,258947800,0.0,0
2009-04-08,63.6,64.28,63.19,63.96,230402800,0.0,0
2009-04-09,65.62,66.51,65.36,66.5,269653500,0.0,0
2009-04-13,65.81,67.07,65.55,66.52,224847500,0.0,0
2009-04-14,65.9,66.46,65.16,65.37,276598800,0.0,0
2009-04-15,64.98,66.2,64.8,66.07,250726100,0.0,0
2009-04-16,66.6,67.54,65.7,67.04,335202900,0.0,0
2009-04-17,67.29,67.93,66.76,67.49,262649000,0.0,0
2009-04-20,66.29,67.46,64.59,64.66,293690100,0.0,0
2009-04-21,64.19,65.98,64.13,65.92,114090900,0.0,0
2009-04-22,65.32,66.91,65.15,65.52,340395200,0.0,0
2009-04-23,65.65,66.2,64.81,66.16,324903700,0.0,0
2009-04-24,66.67,67.67,66.41,67.16,287703000,0.0,0
2009-04-27,66.4,67.43,66.29,66.53,289581600,0.0,0
2009-04-28,65.85,67.11,65.69,66.32,247926300,0.0,0
2009-04-29,67.05,68.48,66.88,67.73,311505700,0.0,0
2009-04-30,68.63,68.99,67.36,67.75,301419800,0.0,0
2009-05-01,67.77,68.36,67.21,68.11,236110300,0.0,0
2009-05-04,68.63,70.48,68.49,70.43,287120000,0.0,0
2009-05-05,70.19,70.47,69.63,70.19,243036300,0.0,0
2009-05-06,71.05,71.46,70.22,71.41,291941000,0.0,0
2009-05-07,72.08,72.19,69.97,70.42,317728000,0.0,0
2009-05-08,71.32,72.25,70.87,72.06,299081700,0.0,0
2009-05-11,71.07,71.39,70.56,70.71,247923600,0.0,0
2009-05-12,71.01,71.17,69.63,70.5,282431300,0.0,0
2009-05-13,69.55,69.76,68.59,68.73,269619100,0.0,0
2009-05-14,68.76,69.84,68.59,69.32,260098700,0.0,0
2009-05-15,69.26,69.75,68.32,68.75,271502700,0.0,0
2009-05-18,69.4,70.79,68.64,70.7,241447400,0.0,0
2009-05-19,70.66,71.28,70.38,70.62,206102200,0.0,0
2009-05-20,71.26,71.92,70.07,70.15,285722200,0.0,0
2009-05-21,69.33,69.59,68.4,69.14,258988400,0.0,0
2009-05-22,69.33,69.75,68.73,68.99,166811900,0.0,0
2009-05-26,68.48,70.96,68.45,70.76,236318500,0.0,0
2009-05-27,70.87,71.11,69.39,69.49,246015800,0.0,0
2009-05-28,70.11,70.79,69.05,70.46,289095000,0.0,0
2009-05-29,70.85,72.62,70.28,71.71,258641500,0.0,0
2009-06-01,72.59,73.76,72.41,73.45,276246800,0.0,0
2009-06-02,73.16,73.91,73.03,73.51,230874500,0.0,0
2009-06-03,72.88,72.95,71.89,72.58,235310500,0.0,0
2009-06-04,72.85,73.37,72.31,73.26,210102300,0.0,0
2009-06-05,74.0,74.14,72.69,73.28,284257900,0.0,0
2009-06-08,72.73,73.7,72.11,72.97,238565100,0.0,0
2009-06-09,73.38,73.73,72.87,73.35,225125500,0.0,0
2009-06-10,74.0,74.0,72.22,73.16,296100400,0.0,0
2009-06-11,73.3,74.49,73.28,73.49,275414200,0.0,0
2009-06-12,73.16,73.73,72.85,73.69,184361800,0.0,0
2009-06-15,72.82,72.87,71.61,72.0,224190500,0.0,0
2009-06-16,72.25,72.3,70.97,71.02,227319000,0.0,0
2009-06-17,70.99,71.56,70.39,70.95,223445200,0.0,0
2009-06-18,71.06,71.82,70.72,71.47,211725100,0.0,0
2009-06-19,72.15,72.25,71.33,71.73,215655600,0.52,0
2009-06-22,71.03,71.07,69.56,69.58,251913600,0.0,0
2009-06-23,69.73,70.05,69.25,69.64,188309800,0.0,0
2009-06-24,70.27,70.99,69.83,70.24,211577700,0.0,0
2009-06-25,69.89,71.84,69.81,71.77,279411000,0.0,0
2009-06-26,71.52,71.89,71.13,71.58,167579000,0.0,0
2009-06-29,71.79,72.34,71.39,72.25,168481300,0.0,0
2009-06-30,72.26,72.53,71.13,71.66,228888200,0.0,0
2009-07-01,71.97,72.66,71.87,71.96,173041100,0.0,0
2009-07-02,71.02,71.98,69.96,70.0,212309900,0.0,0
2009-07-06,69.32,70.09,69.1,69.99,174499600,0.0,0
2009-07-07,69.92,70.0,68.59,68.63,197088900,0.0,0
2009-07-08,69.05,69.21,67.81,68.59,248050500,0.0,0
2009-07-09,69.06,69.29,68.52,68.72,163777600,0.0,0
2009-07-10,68.35,68.97,68.08,68.55,173520300,0.0,0
2009-07-13,68.83,70.28,68.27,70.22,217413500,0.0,0
